,discharge,quality
2016-10-04,51.0,A
2016-10-05,60.9,A
2016-10-06,68.4,A
2016-10-07,72.9,A
2016-10-08,69.9,A
2016-10-09,63.3,A
2016-10-10,58.8,A
2016-10-11,55.4,A
2016-10-12,89.9,A
2016-10-13,288.0,A
2016-10-14,207.0,A
2016-10-15,171.0,A
2016-10-16,149.0,A
2016-10-17,133.0,A
2016-10-18,124.0,A
2016-10-19,112.0,A
2016-10-20,139.0,A
2016-10-21,165.0,A
2016-10-22,139.0,A
2016-10-23,124.0,A
2016-10-24,114.0,A
2016-10-25,106.0,A
2016-10-26,99.9,A
2016-10-27,94.8,A
2016-10-28,88.2,A
2016-10-29,82.3,A
2016-10-30,77.9,A
2016-10-31,72.0,A
2016-11-01,68.5,A
2016-11-02,65.6,A
2016-11-03,63.2,A
2016-11-04,60.3,A
2016-11-05,57.8,A
2016-11-06,55.8,A
2016-11-07,55.3,A
2016-11-08,57.6,A
2016-11-09,55.6,A
2016-11-10,54.3,A
2016-11-11,52.5,A
2016-11-12,49.9,A
2016-11-13,48.7,A
2016-11-14,47.9,A
2016-11-15,47.3,A
2016-11-16,46.2,A
2016-11-17,43.8,A
2016-11-18,44.3,A
2016-11-19,43.1,A
2016-11-20,41.8,A
2016-11-21,41.0,A
2016-11-22,41.0,A
2016-11-23,43.0,A
2016-11-24,42.2,A
2016-11-25,40.6,A
2016-11-26,40.6,A
2016-11-27,39.9,A
2016-11-28,41.2,A
2016-11-29,42.2,A
2016-11-30,40.5,A
2016-12-01,40.2,A
2016-12-02,40.0,A
2016-12-03,38.2,A
2016-12-04,38.8,A
2016-12-05,40.4,A
2016-12-06,40.3,A
2016-12-07,39.4,A
2016-12-08,38.2,A
2016-12-09,37.7,A
2016-12-10,37.2,A
2016-12-11,36.9,A
2016-12-12,37.8,A
2016-12-13,36.9,A
2016-12-14,36.9,A
2016-12-15,36.7,A
2016-12-16,36.1,A
2016-12-17,36.3,A
2016-12-18,36.5,A
2016-12-19,35.5,A
2016-12-20,35.5,A
2016-12-21,35.8,A
2016-12-22,35.7,A
2016-12-23,36.3,A
2016-12-24,38.7,A
2016-12-25,39.1,A
2016-12-26,58.2,A
2016-12-27,64.3,A
2016-12-28,56.5,A
2016-12-29,55.4,A
2016-12-30,50.9,A
2016-12-31,47.8,A
2017-01-01,44.9,A
2017-01-02,43.3,A
2017-01-03,43.5,A
2017-01-04,42.4,A
2017-01-05,41.1,A
2017-01-06,39.2,A
2017-01-07,37.8,A
2017-01-08,36.9,A
2017-01-09,36.6,A
2017-01-10,37.2,A
2017-01-11,37.6,A
2017-01-12,38.4,A
2017-01-13,37.1,A
2017-01-14,57.9,A
2017-01-15,178.0,A
2017-01-16,346.0,A
2017-01-17,327.0,A
2017-01-18,254.0,A
2017-01-19,218.0,A
2017-01-20,187.0,A
2017-01-21,165.0,A
2017-01-22,175.0,A
2017-01-23,259.0,A
2017-01-24,272.0,A
2017-01-25,255.0,A
2017-01-26,225.0,A
2017-01-27,204.0,A
2017-01-28,193.0,A
2017-01-29,199.0,A
2017-01-30,188.0,A
2017-01-31,145.0,A
2017-02-01,116.0,A
2017-02-02,104.0,A
2017-02-03,95.9,A
2017-02-04,89.8,A
2017-02-05,85.7,A
2017-02-06,79.6,A
2017-02-07,79.8,A
2017-02-08,74.0,A
2017-02-09,70.7,A
2017-02-10,68.6,A
2017-02-11,68.3,A
2017-02-12,65.9,A
2017-02-13,62.4,A
2017-02-14,72.7,A
2017-02-15,90.6,A
2017-02-16,99.6,A
2017-02-17,94.5,A
2017-02-18,89.4,A
2017-02-19,85.0,A
2017-02-20,83.7,A
2017-02-21,82.2,A
2017-02-22,79.8,A
2017-02-23,76.7,A
2017-02-24,74.7,A
2017-02-25,70.8,A
2017-02-26,67.7,A
2017-02-27,66.0,A
2017-02-28,65.4,A
2017-03-01,68.6,A
2017-03-02,67.1,A
2017-03-03,64.2,A
2017-03-04,61.3,A
2017-03-05,58.3,A
2017-03-06,55.7,A
2017-03-07,65.8,A
2017-03-08,77.8,A
2017-03-09,74.9,A
2017-03-10,74.3,A
2017-03-11,79.3,A
2017-03-12,96.4,A
2017-03-13,110.0,A
2017-03-14,113.0,A
